"TH5HKSTC6SACTS6C6HQD4SJDJS3C5D3S",1
"--THKSTC--ACTS--6HQD5DJDJS3C--6S",1
"5H--KSTC--ACTS--6HQD5DJDJS3C--6S",1
"TC5HKS----ACTS--6HQD5DJDJS3C--6S",1
"TH5HKSTC--ACTS----QD6HJDJS3C--6S",1
"TH5HKSTC--ACTS--5DQD--JDJS3C--6S",1
"TH5HKSTC--ACTS--6H--QDJDJS3C--6S",1
"TH5HKSTC--ACTS--6H5D--JDJS3C--6S",1
"TH5HKSTC--ACTS--6H--5DQDJS3C--6S",1
"TH5HKSTC--ACTS--6HJD5D--JS3C--6S",1
"TH5HKSTC--ACTS--6HQD--5DJS3C--6S",1
"TH5HKSTC--ACTS--6HQDJD--JS3C--6S",1
"TH5HKSTC--ACTS--6HQD5DJD--3C--JS",1
"TH5HKSTC--ACTS--6HQD5DJD6S3C----",1
"--5HKSTC--ACTS--THQD5DJDJS3C--6S",1
"6H5HKSTC--ACTS----QD5DJDJS3C--6S",1
"JS5HKSTC--ACTS--6HQD5DJD--3C--6S",1
"TH5HKSTC----TS--6HQD5DJDJSAC--6S",1
"TH5HKSTC--3CTS--6HQD5DJDJS----6S",1
"TH5H--TC--ACKS--6HQD5DJDJS3C--6S",1
"TH5HTSTC--AC----6HQD5DJDJS3C--6S",1
"TH5HKS----ACTS--6HQD5DTCJS3C--6S",1
"--5HKSTH--ACTS--6HQD5DJDJS3C--6S",0
"--5HKSTC--ACTS--6HQD5DJDTH3C--6S",0
"TH5HKSJD--ACTS--6HQD5D--JS3C--6S",0
"TC5HKS----ACTS--6HJD5D--JS3C--6S",1
"TC5HKS----ACTS--6HQD--5DJS3C--6S",1
"TC5HKS----ACTS--6HQD5DJD6S3C----",1
"TC5HKS------TS--6HQD5DJDJSAC--6S",1
"TC5HKS----3CTS--6HQD5DJDJS----6S",1
"TC5HTS----AC----6HQD5DJDJS3C--6S",1
"TC5HKS----ACTS----QD6HJDJS3C--6S",0
"TC5HKS----ACTS--5DQD--JDJS3C--6S",0
"TC5HKS----ACTS--6H--QDJDJS3C--6S",0
"TC5HKS----ACTS--6H5D--JDJS3C--6S",0
"TC5HKS----ACTS--6H--5DQDJS3C--6S",0
"TC5HKS----ACTS--6HQDJD--JS3C--6S",0
"TC5HKS----ACTS--6HQD5DJD--3C--JS",0
"--5HKS----ACTS--6HQD5DJDTC3C--6S",0
"JS5HKS----ACTS--6HQD5DJD--3C--6S",0
"TC5H------ACKS--6HQD5DJDJS3C--6S",0
"TC5HTS----AC----6HJD5D--JS3C--6S",1
"TC5HTS----AC----6HQD--5DJS3C--6S",1
"TC5HTS----AC----6HQD5DJD6S3C----",1
"TC5HTS----------6HQD5DJDJSAC--6S",1
"TC5HTS----3C----6HQD5DJDJS----6S",1
"--5HTC----AC----6HQD5DJDJS3C--6S",0
"TS5H------AC----6HQD5DJDJS3C--6S",0
"TC5HTS----AC------QD6HJDJS3C--6S",0
"TC5HTS----AC----5DQD--JDJS3C--6S",0
"TC5HTS----AC----6H--QDJDJS3C--6S",0
"TC5HTS----AC----6H5D--JDJS3C--6S",0
"TC5HTS----AC----6H--5DQDJS3C--6S",0
