[229,    19] loss: 16.351
[230,    19] loss: 16.350
[231,    19] loss: 16.350
[232,    19] loss: 16.348
[233,    19] loss: 16.348
[234,    19] loss: 16.346
[235,    19] loss: 16.344
[236,    19] loss: 16.345
[237,    19] loss: 16.342
[238,    19] loss: 16.342
[239,    19] loss: 16.340
[240,    19] loss: 16.344
[241,    19] loss: 16.373
[242,    19] loss: 16.399
[243,    19] loss: 16.394
[244,    19] loss: 16.357
[245,    19] loss: 16.343
[246,    19] loss: 16.341
[247,    19] loss: 16.340
[248,    19] loss: 16.340
[249,    19] loss: 16.338
[250,    19] loss: 16.337
[251,    19] loss: 16.337
[252,    19] loss: 16.334
[253,    19] loss: 16.335
[254,    19] loss: 16.332
[255,    19] loss: 16.332
[256,    19] loss: 16.330
[257,    19] loss: 16.331
[258,    19] loss: 16.328
[259,    19] loss: 16.328
[260,    19] loss: 16.326
[261,    19] loss: 16.320
[262,    19] loss: 16.319
[263,    19] loss: 16.319
[264,    19] loss: 16.319
[265,    19] loss: 16.319
[266,    19] loss: 16.319
[267,    19] loss: 16.319
[268,    19] loss: 16.319
[269,    19] loss: 16.319
[270,    19] loss: 16.318
[271,    19] loss: 16.318
[272,    19] loss: 16.318
[273,    19] loss: 16.318
[274,    19] loss: 16.318
[275,    19] loss: 16.318
[276,    19] loss: 16.318
[277,    19] loss: 16.318
[278,    19] loss: 16.318
[279,    19] loss: 16.317
[280,    19] loss: 16.317
[281,    19] loss: 16.317
[282,    19] loss: 16.317
[283,    19] loss: 16.317
[284,    19] loss: 16.317
[285,    19] loss: 16.317
[286,    19] loss: 16.317
[287,    19] loss: 16.317
[288,    19] loss: 16.316
[289,    19] loss: 16.317
[290,    19] loss: 16.316
[291,    19] loss: 16.316
[292,    19] loss: 16.316
[293,    19] loss: 16.316
[294,    19] loss: 16.316
[295,    19] loss: 16.316
[296,    19] loss: 16.316
[297,    19] loss: 16.315
[298,    19] loss: 16.315
[299,    19] loss: 16.315
[300,    19] loss: 16.315
[301,    19] loss: 16.315
[302,    19] loss: 16.315
[303,    19] loss: 16.315
[304,    19] loss: 16.315
[305,    19] loss: 16.314
[306,    19] loss: 16.315
[307,    19] loss: 16.314
[308,    19] loss: 16.314
[309,    19] loss: 16.314
[310,    19] loss: 16.314
[311,    19] loss: 16.314
[312,    19] loss: 16.314
[313,    19] loss: 16.314
[314,    19] loss: 16.313
[315,    19] loss: 16.313
[316,    19] loss: 16.314
[317,    19] loss: 16.318
[318,    19] loss: 16.314
[319,    19] loss: 16.313
[320,    19] loss: 16.313
[321,    19] loss: 16.313
[322,    19] loss: 16.313
[323,    19] loss: 16.313
[324,    19] loss: 16.313
[325,    19] loss: 16.312
[326,    19] loss: 16.312
[327,    19] loss: 16.312
[328,    19] loss: 16.312
[329,    19] loss: 16.312
[330,    19] loss: 16.312
[331,    19] loss: 16.312
[332,    19] loss: 16.312
[333,    19] loss: 16.316
[334,    19] loss: 16.316
[335,    19] loss: 16.312
[336,    19] loss: 16.311
[337,    19] loss: 16.311
[338,    19] loss: 16.311
[339,    19] loss: 16.311
[340,    19] loss: 16.311
[341,    19] loss: 16.311
[342,    19] loss: 16.311
[343,    19] loss: 16.310
[344,    19] loss: 16.310
[345,    19] loss: 16.310
[346,    19] loss: 16.311
[347,    19] loss: 16.314
[348,    19] loss: 16.316
[349,    19] loss: 16.313
[350,    19] loss: 16.310
[351,    19] loss: 16.310
[352,    19] loss: 16.310
[353,    19] loss: 16.310
[354,    19] loss: 16.310
[355,    19] loss: 16.309
[356,    19] loss: 16.309
[357,    19] loss: 16.309
[358,    19] loss: 16.309
[359,    19] loss: 16.309
[360,    19] loss: 16.309
[361,    19] loss: 16.309
[362,    19] loss: 16.308
[363,    19] loss: 16.309
[364,    19] loss: 16.311
[365,    19] loss: 16.308
[366,    19] loss: 16.309
[367,    19] loss: 16.308
[368,    19] loss: 16.308
[369,    19] loss: 16.308
[370,    19] loss: 16.308
[371,    19] loss: 16.308
[372,    19] loss: 16.307
[373,    19] loss: 16.307
[374,    19] loss: 16.307
[375,    19] loss: 16.307
[376,    19] loss: 16.307
[377,    19] loss: 16.307
[378,    19] loss: 16.307
[379,    19] loss: 16.307
[380,    19] loss: 16.307
[381,    19] loss: 16.307
[382,    19] loss: 16.310
[383,    19] loss: 16.306
[384,    19] loss: 16.306
[385,    19] loss: 16.306
[386,    19] loss: 16.306
[387,    19] loss: 16.306
[388,    19] loss: 16.306
[389,    19] loss: 16.306
[390,    19] loss: 16.305
[391,    19] loss: 16.305
[392,    19] loss: 16.305
[393,    19] loss: 16.305
[394,    19] loss: 16.305
[395,    19] loss: 16.305
[396,    19] loss: 16.305
[397,    19] loss: 16.305
[398,    19] loss: 16.305
[399,    19] loss: 16.305
[400,    19] loss: 16.305
[401,    19] loss: 16.305
[402,    19] loss: 16.305
[403,    19] loss: 16.305
[404,    19] loss: 16.304
[405,    19] loss: 16.305
[406,    19] loss: 16.304
[407,    19] loss: 16.304
[408,    19] loss: 16.304
[409,    19] loss: 16.304
[410,    19] loss: 16.304
[411,    19] loss: 16.304
[412,    19] loss: 16.304
[413,    19] loss: 16.304
[414,    19] loss: 16.304
[415,    19] loss: 16.304
[416,    19] loss: 16.304
[417,    19] loss: 16.304
[418,    19] loss: 16.304
[419,    19] loss: 16.304
[420,    19] loss: 16.304
[421,    19] loss: 16.304
[422,    19] loss: 16.304
[423,    19] loss: 16.304
[424,    19] loss: 16.304
[425,    19] loss: 16.304
[426,    19] loss: 16.304
[427,    19] loss: 16.304
[428,    19] loss: 16.304
[429,    19] loss: 16.304
[430,    19] loss: 16.304
[431,    19] loss: 16.304
[432,    19] loss: 16.304
[433,    19] loss: 16.304
[434,    19] loss: 16.304
[435,    19] loss: 16.304
[436,    19] loss: 16.304
[437,    19] loss: 16.304
[438,    19] loss: 16.304
[439,    19] loss: 16.304
[440,    19] loss: 16.304
[441,    19] loss: 16.304
[442,    19] loss: 16.304
[443,    19] loss: 16.304
[444,    19] loss: 16.304
[445,    19] loss: 16.304
[446,    19] loss: 16.305
[447,    19] loss: 16.304
[448,    19] loss: 16.304
[449,    19] loss: 16.304
[450,    19] loss: 16.304
[451,    19] loss: 16.304
[452,    19] loss: 16.304
[453,    19] loss: 16.304
[454,    19] loss: 16.304
[455,    19] loss: 16.304
[456,    19] loss: 16.304
[457,    19] loss: 16.304
[458,    19] loss: 16.304
[459,    19] loss: 16.304
[460,    19] loss: 16.304
[461,    19] loss: 16.304
[462,    19] loss: 16.304
[463,    19] loss: 16.304
[464,    19] loss: 16.304
[465,    19] loss: 16.304
[466,    19] loss: 16.304
[467,    19] loss: 16.304
[468,    19] loss: 16.304
[469,    19] loss: 16.304
[470,    19] loss: 16.304
[471,    19] loss: 16.304
[472,    19] loss: 16.304
[473,    19] loss: 16.304
[474,    19] loss: 16.304
[475,    19] loss: 16.304
[476,    19] loss: 16.303
[477,    19] loss: 16.303
[478,    19] loss: 16.303
[479,    19] loss: 16.303
[480,    19] loss: 16.303
[481,    19] loss: 16.303
[482,    19] loss: 16.303
[483,    19] loss: 16.303
[484,    19] loss: 16.303
[485,    19] loss: 16.303
[486,    19] loss: 16.303
[487,    19] loss: 16.303
[488,    19] loss: 16.303
[489,    19] loss: 16.304
[490,    19] loss: 16.304
[491,    19] loss: 16.303
[492,    19] loss: 16.304
[493,    19] loss: 16.304
[494,    19] loss: 16.303
[495,    19] loss: 16.303
[496,    19] loss: 16.303
[497,    19] loss: 16.303
[498,    19] loss: 16.303
[499,    19] loss: 16.303
[500,    19] loss: 16.303
