[214,    69] loss: 3274.696
[215,    69] loss: 3274.085
[216,    69] loss: 3273.419
[217,    69] loss: 3272.781
[218,    69] loss: 3272.095
[219,    69] loss: 3271.419
[220,    69] loss: 3270.735
[221,    69] loss: 3270.064
[222,    69] loss: 3269.439
[223,    69] loss: 3268.795
[224,    69] loss: 3268.175
[225,    69] loss: 3267.588
[226,    69] loss: 3267.022
[227,    69] loss: 3266.443
[228,    69] loss: 3265.808
[229,    69] loss: 3265.255
[230,    69] loss: 3264.677
[231,    69] loss: 3264.089
[232,    69] loss: 3263.532
[233,    69] loss: 3262.958
[234,    69] loss: 3262.336
[235,    69] loss: 3261.745
[236,    69] loss: 3261.144
[237,    69] loss: 3260.510
[238,    69] loss: 3259.925
[239,    69] loss: 3259.390
[240,    69] loss: 3258.735
[241,    69] loss: 3258.187
[242,    69] loss: 3257.664
[243,    69] loss: 3257.057
[244,    69] loss: 3256.459
[245,    69] loss: 3255.894
[246,    69] loss: 3255.281
[247,    69] loss: 3254.705
[248,    69] loss: 3254.149
[249,    69] loss: 3253.588
[250,    69] loss: 3253.014
[251,    69] loss: 3252.438
[252,    69] loss: 3251.900
[253,    69] loss: 3251.370
[254,    69] loss: 3250.838
[255,    69] loss: 3250.291
[256,    69] loss: 3249.759
[257,    69] loss: 3249.218
[258,    69] loss: 3248.675
[259,    69] loss: 3248.136
[260,    69] loss: 3247.589
[261,    69] loss: 3246.055
[262,    69] loss: 3245.823
[263,    69] loss: 3245.772
[264,    69] loss: 3245.705
[265,    69] loss: 3245.633
[266,    69] loss: 3245.567
[267,    69] loss: 3245.511
[268,    69] loss: 3245.444
[269,    69] loss: 3245.385
[270,    69] loss: 3245.315
[271,    69] loss: 3245.254
[272,    69] loss: 3245.192
[273,    69] loss: 3245.133
[274,    69] loss: 3245.069
[275,    69] loss: 3245.002
[276,    69] loss: 3244.939
[277,    69] loss: 3244.877
[278,    69] loss: 3244.814
[279,    69] loss: 3244.748
[280,    69] loss: 3244.684
[281,    69] loss: 3244.617
[282,    69] loss: 3244.548
[283,    69] loss: 3244.485
[284,    69] loss: 3244.421
[285,    69] loss: 3244.353
[286,    69] loss: 3244.290
[287,    69] loss: 3244.225
[288,    69] loss: 3244.163
[289,    69] loss: 3244.096
[290,    69] loss: 3244.027
[291,    69] loss: 3243.962
[292,    69] loss: 3243.894
[293,    69] loss: 3243.831
[294,    69] loss: 3243.766
[295,    69] loss: 3243.702
[296,    69] loss: 3243.634
[297,    69] loss: 3243.567
[298,    69] loss: 3243.501
[299,    69] loss: 3243.437
[300,    69] loss: 3243.372
[301,    69] loss: 3243.305
[302,    69] loss: 3243.242
[303,    69] loss: 3243.179
[304,    69] loss: 3243.113
[305,    69] loss: 3243.044
[306,    69] loss: 3242.977
[307,    69] loss: 3242.911
[308,    69] loss: 3242.851
[309,    69] loss: 3242.789
[310,    69] loss: 3242.725
[311,    69] loss: 3242.660
[312,    69] loss: 3242.598
[313,    69] loss: 3242.532
[314,    69] loss: 3242.468
[315,    69] loss: 3242.401
[316,    69] loss: 3242.336
[317,    69] loss: 3242.272
[318,    69] loss: 3242.210
[319,    69] loss: 3242.147
[320,    69] loss: 3242.084
[321,    69] loss: 3242.021
[322,    69] loss: 3241.957
[323,    69] loss: 3241.893
[324,    69] loss: 3241.830
