[229,    19] loss: 8.069
[230,    19] loss: 8.069
[231,    19] loss: 8.069
[232,    19] loss: 8.069
[233,    19] loss: 8.069
[234,    19] loss: 8.069
[235,    19] loss: 8.069
[236,    19] loss: 8.069
[237,    19] loss: 8.069
[238,    19] loss: 8.069
[239,    19] loss: 8.069
[240,    19] loss: 8.069
[241,    19] loss: 8.069
[242,    19] loss: 8.069
[243,    19] loss: 8.069
[244,    19] loss: 8.069
[245,    19] loss: 8.069
[246,    19] loss: 8.069
[247,    19] loss: 8.069
[248,    19] loss: 8.069
[249,    19] loss: 8.069
[250,    19] loss: 8.069
[251,    19] loss: 8.069
[252,    19] loss: 8.069
[253,    19] loss: 8.069
[254,    19] loss: 8.069
[255,    19] loss: 8.068
[256,    19] loss: 8.068
[257,    19] loss: 8.068
[258,    19] loss: 8.068
[259,    19] loss: 8.068
[260,    19] loss: 8.068
[261,    19] loss: 8.067
[262,    19] loss: 8.067
[263,    19] loss: 8.067
[264,    19] loss: 8.067
[265,    19] loss: 8.067
[266,    19] loss: 8.067
[267,    19] loss: 8.067
[268,    19] loss: 8.067
[269,    19] loss: 8.067
[270,    19] loss: 8.067
[271,    19] loss: 8.067
[272,    19] loss: 8.067
[273,    19] loss: 8.067
[274,    19] loss: 8.067
[275,    19] loss: 8.067
[276,    19] loss: 8.067
[277,    19] loss: 8.067
[278,    19] loss: 8.067
[279,    19] loss: 8.067
[280,    19] loss: 8.067
[281,    19] loss: 8.067
[282,    19] loss: 8.067
[283,    19] loss: 8.067
[284,    19] loss: 8.067
[285,    19] loss: 8.067
[286,    19] loss: 8.067
[287,    19] loss: 8.067
[288,    19] loss: 8.067
[289,    19] loss: 8.067
[290,    19] loss: 8.067
[291,    19] loss: 8.067
[292,    19] loss: 8.067
[293,    19] loss: 8.067
[294,    19] loss: 8.067
[295,    19] loss: 8.067
[296,    19] loss: 8.067
[297,    19] loss: 8.067
[298,    19] loss: 8.067
[299,    19] loss: 8.067
[300,    19] loss: 8.067
[301,    19] loss: 8.067
[302,    19] loss: 8.067
[303,    19] loss: 8.067
[304,    19] loss: 8.067
[305,    19] loss: 8.067
[306,    19] loss: 8.067
[307,    19] loss: 8.067
[308,    19] loss: 8.067
[309,    19] loss: 8.067
[310,    19] loss: 8.067
[311,    19] loss: 8.067
[312,    19] loss: 8.067
[313,    19] loss: 8.067
[314,    19] loss: 8.067
[315,    19] loss: 8.067
[316,    19] loss: 8.067
[317,    19] loss: 8.067
[318,    19] loss: 8.067
[319,    19] loss: 8.067
[320,    19] loss: 8.067
[321,    19] loss: 8.067
[322,    19] loss: 8.067
[323,    19] loss: 8.067
[324,    19] loss: 8.067
[325,    19] loss: 8.067
[326,    19] loss: 8.067
[327,    19] loss: 8.067
[328,    19] loss: 8.067
[329,    19] loss: 8.067
[330,    19] loss: 8.067
[331,    19] loss: 8.067
[332,    19] loss: 8.067
[333,    19] loss: 8.067
[334,    19] loss: 8.067
[335,    19] loss: 8.067
[336,    19] loss: 8.067
[337,    19] loss: 8.067
[338,    19] loss: 8.067
[339,    19] loss: 8.067
[340,    19] loss: 8.067
[341,    19] loss: 8.067
[342,    19] loss: 8.067
[343,    19] loss: 8.067
[344,    19] loss: 8.067
[345,    19] loss: 8.067
[346,    19] loss: 8.067
[347,    19] loss: 8.067
[348,    19] loss: 8.067
[349,    19] loss: 8.067
[350,    19] loss: 8.067
[351,    19] loss: 8.067
[352,    19] loss: 8.067
[353,    19] loss: 8.067
[354,    19] loss: 8.067
[355,    19] loss: 8.067
[356,    19] loss: 8.067
[357,    19] loss: 8.067
[358,    19] loss: 8.067
[359,    19] loss: 8.067
[360,    19] loss: 8.067
[361,    19] loss: 8.067
[362,    19] loss: 8.067
[363,    19] loss: 8.066
[364,    19] loss: 8.066
[365,    19] loss: 8.066
[366,    19] loss: 8.066
[367,    19] loss: 8.066
[368,    19] loss: 8.066
[369,    19] loss: 8.066
[370,    19] loss: 8.066
[371,    19] loss: 8.066
[372,    19] loss: 8.066
[373,    19] loss: 8.066
[374,    19] loss: 8.066
[375,    19] loss: 8.066
[376,    19] loss: 8.066
[377,    19] loss: 8.066
[378,    19] loss: 8.066
[379,    19] loss: 8.066
[380,    19] loss: 8.066
[381,    19] loss: 8.066
[382,    19] loss: 8.066
[383,    19] loss: 8.066
[384,    19] loss: 8.066
[385,    19] loss: 8.066
[386,    19] loss: 8.066
[387,    19] loss: 8.066
[388,    19] loss: 8.066
[389,    19] loss: 8.066
[390,    19] loss: 8.066
[391,    19] loss: 8.066
[392,    19] loss: 8.066
[393,    19] loss: 8.066
[394,    19] loss: 8.066
[395,    19] loss: 8.066
[396,    19] loss: 8.066
[397,    19] loss: 8.066
[398,    19] loss: 8.066
[399,    19] loss: 8.066
[400,    19] loss: 8.066
[401,    19] loss: 8.066
[402,    19] loss: 8.066
[403,    19] loss: 8.066
[404,    19] loss: 8.066
[405,    19] loss: 8.066
[406,    19] loss: 8.066
[407,    19] loss: 8.066
[408,    19] loss: 8.066
[409,    19] loss: 8.066
[410,    19] loss: 8.066
[411,    19] loss: 8.066
[412,    19] loss: 8.066
[413,    19] loss: 8.066
[414,    19] loss: 8.066
[415,    19] loss: 8.066
[416,    19] loss: 8.066
[417,    19] loss: 8.066
[418,    19] loss: 8.066
[419,    19] loss: 8.066
[420,    19] loss: 8.066
[421,    19] loss: 8.066
[422,    19] loss: 8.066
[423,    19] loss: 8.066
[424,    19] loss: 8.066
[425,    19] loss: 8.066
[426,    19] loss: 8.066
[427,    19] loss: 8.066
[428,    19] loss: 8.066
[429,    19] loss: 8.066
[430,    19] loss: 8.066
[431,    19] loss: 8.066
[432,    19] loss: 8.066
[433,    19] loss: 8.066
[434,    19] loss: 8.066
[435,    19] loss: 8.066
[436,    19] loss: 8.066
[437,    19] loss: 8.066
[438,    19] loss: 8.066
[439,    19] loss: 8.066
[440,    19] loss: 8.066
[441,    19] loss: 8.066
[442,    19] loss: 8.066
[443,    19] loss: 8.066
[444,    19] loss: 8.066
[445,    19] loss: 8.066
[446,    19] loss: 8.066
[447,    19] loss: 8.066
[448,    19] loss: 8.066
[449,    19] loss: 8.066
[450,    19] loss: 8.066
[451,    19] loss: 8.066
[452,    19] loss: 8.066
[453,    19] loss: 8.066
[454,    19] loss: 8.066
[455,    19] loss: 8.066
[456,    19] loss: 8.066
[457,    19] loss: 8.066
[458,    19] loss: 8.066
[459,    19] loss: 8.066
[460,    19] loss: 8.066
[461,    19] loss: 8.066
[462,    19] loss: 8.066
[463,    19] loss: 8.066
[464,    19] loss: 8.066
[465,    19] loss: 8.066
[466,    19] loss: 8.066
[467,    19] loss: 8.066
[468,    19] loss: 8.066
[469,    19] loss: 8.066
[470,    19] loss: 8.066
[471,    19] loss: 8.066
[472,    19] loss: 8.066
[473,    19] loss: 8.066
[474,    19] loss: 8.066
[475,    19] loss: 8.066
[476,    19] loss: 8.066
[477,    19] loss: 8.066
[478,    19] loss: 8.066
[479,    19] loss: 8.066
[480,    19] loss: 8.066
[481,    19] loss: 8.066
[482,    19] loss: 8.066
[483,    19] loss: 8.066
[484,    19] loss: 8.066
[485,    19] loss: 8.066
[486,    19] loss: 8.066
[487,    19] loss: 8.066
[488,    19] loss: 8.066
[489,    19] loss: 8.066
[490,    19] loss: 8.066
[491,    19] loss: 8.066
[492,    19] loss: 8.066
[493,    19] loss: 8.066
[494,    19] loss: 8.066
[495,    19] loss: 8.066
[496,    19] loss: 8.066
[497,    19] loss: 8.066
[498,    19] loss: 8.066
[499,    19] loss: 8.066
[500,    19] loss: 8.066
